"country","decile","min_n","mean_nwx","mean_wt","share_vol","share_recip"
"PT",8,567,282918.118868462,19586.6440351316,0.0284167906805904,0.271085249517947
"PT",9,603,437796.607597344,34704.1841459499,0.0505086255335983,0.284489287968929
"PT",10,616,1323996.12927204,89206.5058800975,0.129579995506335,0.339292153748548
"SI",1,197,-861565.959922039,1167081.74017866,0.688126558587424,1
"SI",2,204,-158594.714028316,327124.183428906,0.192625306580873,0.985931573712253
"SI",3,181,-4432.60515635695,37827.8379581022,0.022400158632033,0.228800955549016
"SI",4,172,11742.9106715186,9740.59893785792,0.00554712342001181,0.0896276070002886
"SI",5,176,56951.2292029848,27682.0618800589,0.0164480353135361,0.197779111806158
"SI",6,198,105815.635452009,19216.7696545942,0.0111826325726379,0.122328472133445
"SI",7,204,153045.787595647,17321.8503774213,0.0101908661219958,0.143297664571646
"SI",8,206,207294.256654334,18111.269317388,0.0107700016334498,0.18047515721815
"SI",9,199,303059.714382259,20488.3603088327,0.0119346776451471,0.124270429115619
"SI",10,203,852250.499306619,52264.4893865595,0.0307746394928909,0.219331900026095
"SK",1,207,-144762.761817315,282009.342499259,0.576451728807691,0.989715016970501
"SK",2,204,-3134.68322291496,43463.5426136815,0.0884762200322678,0.516971238372239
"SK",3,185,20310.0645573628,33950.5150130807,0.0691108208710559,0.509983030434061
"SK",4,209,55017.7198828735,32921.0818490139,0.0670817088002645,0.392576522365833
"SK",5,184,81912.8185417954,19718.1581342652,0.0401378912225845,0.326808781726518
"SK",6,205,106107.786235471,12698.7368320674,0.0258367528103764,0.293242904182469
"SK",7,198,133564.213314439,12725.6384681215,0.0259399373094059,0.290672713401024
"SK",8,193,169989.300107002,9540.51945606744,0.0194603590551525,0.228705386008331
"SK",9,204,227870.309971237,10068.3534794952,0.0204778756263182,0.255516934684626
"SK",10,291,547763.904175782,33047.8277014354,0.0670267054648833,0.386686688050098
